,Mkt-RF,SMB,HML,RF
19590709,   -0.23,    0.07,    0.29,    0.01
19590710,    0.04,    0.10,    0.45,    0.01
19590713,   -0.90,    0.51,   -0.23,    0.01
19590714,    0.29,    0.23,   -0.23,    0.01
19590715,    0.12,    0.28,   -0.16,    0.01
19590716,   -0.37,    0.11,   -0.22,    0.01
19590717,   -0.29,    0.41,   -0.38,    0.01
19590720,   -0.49,    0.16,   -0.03,    0.01
19590721,    0.83,   -0.10,   -0.04,    0.01
19590722,    0.35,    0.22,    0.08,    0.01
19590723,    0.11,   -0.08,    0.12,    0.01
19590724,    0.01,    0.24,   -0.17,    0.01
19590727,    0.51,   -0.31,   -0.05,    0.01
19590728,    0.51,   -0.43,   -0.05,    0.01
19590729,    0.43,   -0.51,    0.09,    0.01
19590730,   -0.24,    0.00,    0.03,    0.01
19590731,    0.02,   -0.09,    0.11,    0.01
19590803,    0.29,   -0.04,    0.10,    0.01
19590804,   -0.20,    0.02,   -0.14,    0.01
19590805,   -0.42,   -0.20,    0.18,    0.01
19590806,   -0.15,   -0.33,    0.49,    0.01
19590807,   -0.61,    0.18,    0.23,    0.01
19590810,   -1.90,   -0.38,   -0.20,    0.01
19590811,    1.20,    0.03,   -0.30,    0.01
19590812,   -0.17,    0.40,   -0.06,    0.01
19590813,   -0.21,    0.10,    0.17,    0.01
19590814,    0.24,    0.03,   -0.02,    0.01
19590817,   -0.21,    0.13,    0.00,    0.01
19590818,   -0.90,   -0.11,    0.03,    0.01
19590819,   -0.58,   -0.19,   -0.23,    0.01
19590820,    1.42,   -0.18,    0.10,    0.01
19590821,   -0.07,    0.23,   -0.18,    0.01
19590824,   -0.41,    0.15,   -0.13,    0.01
19590825,    0.24,    0.02,   -0.13,    0.01
19590826,    0.15,   -0.04,    0.39,    0.01
19590827,    0.92,   -0.59,   -0.20,    0.01
19590828,   -0.19,    0.29,    0.19,    0.01
19590831,    0.20,   -0.30,    0.17,    0.01
19590901,   -1.20,    0.11,    0.09,    0.01
19590902,    0.04,   -0.25,    0.21,    0.01
19590903,   -1.16,   -0.02,   -0.15,    0.01
19590904,    0.55,   -0.24,   -0.37,    0.01
19590908,   -1.40,   -0.21,    0.11,    0.01
19590909,   -0.79,   -0.17,    0.01,    0.01
19590910,   -0.57,    0.32,   -0.10,    0.01
19590911,    0.75,    0.21,    0.37,    0.01
19590914,   -0.69,    0.22,   -0.67,    0.01
19590915,   -0.64,   -0.28,    0.34,    0.01
19590916,    0.05,    0.16,   -0.13,    0.01
19590917,   -0.49,   -0.03,   -0.16,    0.01
19590918,   -0.70,   -0.14,   -0.14,    0.01
19590921,   -1.52,   -0.39,    0.39,    0.01
19590922,   -0.27,   -0.04,    0.15,    0.01
19590923,    1.37,    0.24,   -0.01,    0.01
19590924,    1.64,    0.19,    0.15,    0.01
19590925,   -0.03,    0.10,   -0.47,    0.01
19590928,    0.66,   -0.02,    0.06,    0.01
19590929,    0.58,   -0.33,    0.40,    0.01
19590930,   -1.01,    0.44,    0.49,    0.01
19591001,    0.14,    0.20,    0.32,    0.01
19591002,    0.41,    0.22,   -0.42,    0.01
19591005,   -0.13,    0.07,   -0.39,    0.01
19591006,   -0.06,    0.13,    0.07,    0.01
19591007,   -0.19,    0.33,    0.01,    0.01
19591008,   -0.17,    0.46,   -0.16,    0.01
19591009,    0.35,   -0.06,   -0.08,    0.01
19591012,    0.55,    0.03,   -0.20,    0.01
19591013,   -0.30,   -0.02,   -0.10,    0.01
19591014,   -0.74,   -0.05,    0.41,    0.01
19591015,    0.27,   -0.18,    0.24,    0.01
19591016,    0.81,    0.16,   -0.01,    0.01
19591019,   -0.55,    0.29,   -0.15,    0.01
19591020,   -0.61,    0.00,    0.07,    0.01
19591021,   -0.18,    0.22,   -0.10,    0.01
19591022,   -0.94,    0.40,   -0.22,    0.01
19591023,    1.07,   -0.31,   -0.14,    0.01
19591026,    0.63,   -0.12,   -0.15,    0.01
19591027,    0.79,   -0.78,   -0.54,    0.01
19591028,    0.06,   -0.05,   -0.35,    0.01
19591029,   -0.10,    0.27,   -0.02,    0.01
19591030,    0.18,    0.29,   -0.13,    0.01
19591102,   -0.15,    0.25,   -0.26,    0.01
19591104,   -0.15,    0.02,    0.06,    0.01
19591105,    0.10,   -0.05,   -0.36,    0.01
19591106,    0.54,   -0.24,    0.48,    0.01
19591109,   -0.15,    0.05,   -0.07,    0.01
19591110,    0.03,    0.44,   -0.21,    0.01
19591111,    0.06,    0.36,   -0.22,    0.01
19591112,   -0.50,    0.29,   -0.23,    0.01
19591113,   -0.55,    0.39,   -0.11,    0.01
19591116,   -1.02,    0.56,   -0.51,    0.01
19591117,    0.24,   -0.20,   -0.51,    0.01
19591118,    1.03,   -0.50,    0.30,    0.01
19591119,   -0.09,   -0.03,    0.01,    0.01
19591120,    0.07,    0.24,   -0.20,    0.01
19591123,    0.17,    0.20,   -0.98,    0.01
19591124,    0.44,   -0.05,   -0.42,    0.01
19591125,    0.16,   -0.18,   -0.11,    0.01
19591127,    0.46,   -0.17,    0.27,    0.01
19591130,    0.92,   -0.17,   -0.07,    0.01
19591201,    0.68,   -0.26,   -0.36,    0.02
19591202,   -0.21,    0.03,    0.06,    0.02
19591203,    0.27,    0.18,    0.15,    0.02
19591204,    0.22,    0.36,   -0.14,    0.02
19591207,    0.28,    0.07,    0.11,    0.02
19591208,    0.54,   -0.33,    0.20,    0.02
19591209,   -0.63,   -0.07,    0.50,    0.02
19591210,    0.09,   -0.19,    0.00,    0.02
19591211,   -0.18,    0.46,   -0.13,    0.02
19591214,    0.25,   -0.32,    0.31,    0.02
19591215,   -0.29,   -0.16,    0.22,    0.02
19591216,    0.13,   -0.01,   -0.03,    0.02
19591217,   -0.14,    0.34,   -0.03,    0.02
19591218,    0.45,   -0.19,   -0.07,    0.02
19591221,    0.10,    0.07,   -0.18,    0.02
19591222,   -0.16,    0.35,    0.05,    0.02
19591223,   -0.29,    0.22,   -0.38,    0.02
19591224,    0.09,    0.01,    0.17,    0.02
19591228,   -0.13,   -0.37,   -0.27,    0.02
19591229,    0.40,   -0.41,   -0.17,    0.02
19591230,    0.79,   -0.33,    0.01,    0.02
19591231,    0.19,   -0.07,   -0.04,    0.02
19600104,   -0.03,    0.60,    0.67,    0.02
19600105,    0.78,   -0.38,    0.52,    0.02
19600106,   -0.47,    0.13,    0.36,    0.02
19600107,   -0.65,    0.35,    0.11,    0.02
19600108,   -0.33,    0.19,    0.07,    0.02
19600111,   -1.15,    0.48,    0.31,    0.02
19600112,   -0.58,    0.02,    0.42,    0.02
19600113,   -0.53,    0.39,    0.03,    0.02
19600114,    0.56,   -0.20,    0.16,    0.02
19600115,    0.01,    0.36,    0.15,    0.02
19600118,   -0.83,    0.22,   -0.25,    0.02
19600119,   -1.00,    0.00,    0.26,    0.02
19600120,   -0.30,    0.18,    0.07,    0.02
19600121,    0.22,    0.03,    0.23,    0.02
19600122,    0.28,    0.05,   -0.25,    0.02
19600125,   -1.05,   -0.16,   -0.07,    0.02
19600126,    0.15,   -0.17,    0.16,    0.02
19600127,   -0.28,   -0.03,    0.12,    0.02
19600128,   -0.99,    0.42,   -0.16,    0.02
19600129,   -0.97,   -0.29,   -0.06,    0.02
19600201,    0.50,   -0.49,   -0.24,    0.01
19600202,    1.54,   -0.15,   -0.44,    0.01
19600203,   -0.83,    0.31,   -0.02,    0.01
19600204,   -0.08,   -0.07,    0.17,    0.01
19600205,   -0.50,   -0.31,    0.00,    0.01
19600208,   -1.01,    0.08,   -0.06,    0.01
19600209,    0.89,   -0.10,   -0.06,    0.01
19600210,   -0.57,    0.39,    0.05,    0.01
19600211,   -0.51,    0.24,    0.40,    0.01
19600212,    0.45,   -0.39,    0.20,    0.01
19600215,   -0.49,    0.24,    0.12,    0.01
19600216,   -0.88,   -0.23,   -0.22,    0.01
19600217,    0.62,    0.05,   -0.24,    0.01
19600218,    1.37,    0.09,   -0.51,    0.01
19600219,    0.71,   -0.07,    0.11,    0.01
19600223,   -0.50,    0.43,   -0.19,    0.01
19600224,   -0.29,    0.27,   -0.18,    0.01
19600225,    0.45,    0.03,    0.16,    0.01
19600226,    0.43,    0.21,   -0.54,    0.01
19600229,   -0.08,    0.08,   -0.48,    0.01
19600301,   -0.15,    0.12,   -0.23,    0.02
19600302,   -0.70,   -0.07,   -0.13,    0.02
19600303,   -1.54,   -0.07,   -0.31,    0.02
19600304,   -0.40,   -0.48,   -0.57,    0.02
19600307,   -1.10,    0.15,   -0.11,    0.02
19600308,   -0.94,   -0.26,   -0.13,    0.02
19600309,    1.09,   -0.15,    0.32,    0.02
19600310,   -0.33,    0.53,    0.32,    0.02
19600311,    0.73,    0.11,   -0.03,    0.02
19600314,    0.18,    0.03,   -0.11,    0.02
19600315,    0.78,   -0.30,    0.02,    0.02
19600316,    0.52,    0.12,    0.03,    0.02
19600317,   -0.18,    0.22,   -0.24,    0.02
19600318,    0.06,    0.08,   -0.25,    0.02
19600321,    0.08,   -0.29,   -0.24,    0.02
19600322,    0.36,   -0.49,    0.04,    0.02
19600323,    0.76,   -0.32,   -0.25,    0.02
19600324,    0.41,   -0.11,    0.39,    0.02
19600325,    0.00,    0.12,   -0.31,    0.02
19600328,   -0.24,    0.00,   -0.05,    0.02
19600329,   -0.19,    0.26,   -0.42,    0.02
19600330,   -0.16,    0.28,   -0.34,    0.02
19600331,   -0.63,   -0.02,   -0.23,    0.02
19600401,    0.20,   -0.10,   -0.17,    0.01
19600404,    0.18,   -0.12,   -0.39,    0.01
19600405,    0.54,   -0.36,   -0.21,    0.01
19600406,    1.01,   -0.43,   -0.07,    0.01
19600407,    0.07,    0.19,   -0.05,    0.01
19600408,   -0.21,    0.09,    0.25,    0.01
19600411,   -0.39,   -0.05,    0.11,    0.01
19600412,    0.21,   -0.15,   -0.08,    0.01
19600413,   -0.03,    0.24,   -0.44,    0.01
19600414,    0.26,    0.09,   -0.25,    0.01
19600418,    0.22,   -0.17,   -0.29,    0.01
19600419,   -0.73,    0.04,    0.04,    0.01
19600420,   -1.17,    0.49,    0.14,    0.01
19600421,    0.33,   -0.04,   -0.19,    0.01
19600422,   -0.27,    0.33,   -0.10,    0.01
19600425,   -1.02,    0.15,   -0.05,    0.01
19600426,    0.35,   -0.04,   -0.42,    0.01
19600427,   -0.03,   -0.07,   -0.02,    0.01
19600428,   -0.86,   -0.11,    0.07,    0.01
19600429,   -0.35,    0.21,   -0.08,    0.01
19600502,   -0.51,   -0.19,   -0.39,    0.01
19600503,    1.37,   -0.49,   -0.20,    0.01
19600504,    0.41,   -0.07,   -0.08,    0.01
19600505,   -0.33,    0.14,   -0.21,    0.01
19600506,   -0.12,    0.40,   -0.20,    0.01
19600509,    0.11,    0.16,   -0.59,    0.01
19600510,   -0.58,    0.23,   -0.45,    0.01
19600511,    0.23,   -0.32,    0.08,    0.01
19600512,    0.54,    0.35,    0.08,    0.01
19600513,    0.88,    0.14,    0.22,    0.01
19600516,   -0.08,    0.28,   -0.45,    0.01
19600517,    0.37,   -0.15,    0.01,    0.01
19600518,    0.02,   -0.44,   -0.09,    0.01
19600519,    0.43,   -0.07,    0.13,    0.01
19600520,    0.20,   -0.14,    0.69,    0.01
19600523,   -0.08,    0.02,    0.26,    0.01
19600524,   -0.06,    0.51,   -0.47,    0.01
19600525,   -0.04,    0.56,   -0.59,    0.01
19600526,    0.08,    0.15,   -0.56,    0.01
19600527,    0.07,    0.09,    0.14,    0.01
19600531,    0.16,    0.12,   -0.96,    0.01
19600601,    0.16,   -0.19,   -0.40,    0.01
19600602,    0.36,   -0.65,    0.47,    0.01
19600603,    0.19,   -0.24,    0.39,    0.01
19600606,    1.11,   -0.76,    0.63,    0.01
19600607,    0.96,   -0.29,   -0.12,    0.01
19600608,    0.75,    0.15,    0.13,    0.01
19600609,    0.11,   -0.10,   -0.07,    0.01
19600610,    0.06,   -0.02,   -0.08,    0.01
19600613,    0.06,    0.02,    0.05,    0.01
19600614,   -0.02,    0.04,   -0.57,    0.01
19600615,   -0.54,    0.49,   -0.14,    0.01
19600616,   -0.10,    0.31,   -0.28,    0.01
19600617,   -0.10,    0.18,   -0.11,    0.01
19600620,   -0.37,    0.39,   -0.09,    0.01
19600621,   -0.10,   -0.37,    0.30,    0.01
19600622,    0.21,   -0.16,    0.66,    0.01
19600623,    0.47,   -0.22,    0.14,    0.01
19600624,    0.15,   -0.02,    0.00,    0.01
19600627,   -0.56,    0.54,   -0.39,    0.01
19600628,   -0.70,    0.28,   -0.33,    0.01
19600629,    0.04,    0.11,   -0.34,    0.01
19600630,   -0.06,    0.21,   -0.10,    0.01
19600701,    0.24,    0.27,   -0.13,    0.01
19600705,   -0.11,   -0.14,    0.06,    0.01
19600706,   -0.16,   -0.36,    0.35,    0.01
19600707,    0.53,    0.01,    0.02,    0.01
19600708,    0.26,   -0.11,    0.23,    0.01
19600711,   -0.88,    0.21,    0.11,    0.01
19600712,   -1.07,   -0.07,    0.72,    0.01
19600713,   -0.26,    0.06,    0.43,    0.01
19600714,    0.01,   -0.07,   -0.31,    0.01
19600715,   -0.05,    0.09,    0.24,    0.01
19600718,   -0.62,   -0.22,    0.48,    0.01
19600719,    0.01,   -0.05,    0.09,    0.01
19600720,   -0.15,    0.41,   -0.19,    0.01
19600721,   -0.87,    0.33,    0.05,    0.01
19600722,   -0.69,   -0.24,    0.40,    0.01
19600725,   -1.11,   -0.13,   -0.18,    0.01
19600726,    0.70,   -0.17,   -0.20,    0.01
19600727,   -0.66,   -0.19,    0.14,    0.01
19600728,    0.81,   -0.07,    0.21,    0.01
19600729,    1.74,   -0.11,   -0.39,    0.01
19600801,   -0.05,   -0.03,   -0.10,    0.01
19600802,   -0.82,    0.05,    0.20,    0.01
19600803,   -0.53,    0.25,   -0.01,    0.01
19600804,    0.31,   -0.31,   -0.07,    0.01
19600805,    1.04,   -0.11,    0.07,    0.01
19600808,    0.19,    0.03,    0.15,    0.01
19600809,    0.56,   -0.43,    0.54,    0.01
19600810,    0.43,    0.13,    0.09,    0.01
19600811,    0.41,    0.29,   -0.17,    0.01
19600812,    0.68,    0.16,   -0.11,    0.01
19600815,   -0.02,   -0.07,    0.09,    0.01
19600816,    0.24,    0.29,   -0.23,    0.01
19600817,    0.29,    0.15,   -0.25,    0.01
19600818,   -0.01,   -0.01,   -0.08,    0.01
19600819,    0.31,   -0.27,    0.09,    0.01
19600822,    0.28,   -0.14,    0.02,    0.01
19600823,    0.91,   -0.40,    0.26,    0.01
19600824,    0.50,   -0.15,    0.02,    0.01
19600825,   -0.43,    0.27,    0.20,    0.01
19600826,   -0.28,    0.40,   -0.08,    0.01
19600829,   -0.23,    0.05,   -0.10,    0.01
19600830,   -1.02,    0.65,   -0.54,    0.01
19600831,    0.23,    0.03,   -0.14,    0.01
19600901,    0.21,    0.14,   -0.22,    0.01
19600902,   -0.10,    0.09,    0.13,    0.01
19600906,   -0.90,   -0.11,    0.08,    0.01
19600907,   -1.22,    0.07,    0.34,    0.01
19600908,   -0.04,    0.10,    0.17,    0.01
19600909,    0.60,   -0.13,    0.04,    0.01
19600912,   -0.65,   -0.03,   -0.07,    0.01
19600913,    0.16,   -0.28,    0.20,    0.01
19600914,   -0.75,    0.07,   -0.17,    0.01
19600915,   -0.40,   -0.24,    0.09,    0.01
19600916,   -0.18,   -0.06,    0.39,    0.01
19600919,   -2.29,   -0.22,    0.70,    0.01
19600920,    0.28,   -0.13,   -0.25,    0.01
19600921,    1.05,    0.02,   -0.32,    0.01
19600922,   -0.38,    0.30,   -0.02,    0.01
19600923,   -0.92,    0.08,   -0.02,    0.01
19600926,   -1.48,   -0.60,    0.74,    0.01
19600927,   -0.29,    0.04,   -0.05,    0.01
19600928,   -0.86,   -0.33,    0.22,    0.01
19600929,    0.28,   -0.13,    0.07,    0.01
19600930,    1.78,    0.17,   -0.27,    0.01
19601003,   -0.26,   -0.21,    0.14,    0.01
19601004,   -0.75,   -0.24,    0.21,    0.01
19601005,    0.69,   -0.59,    0.35,    0.01
19601006,    0.58,    0.18,   -0.06,    0.01
19601007,    0.55,   -0.29,   -0.03,    0.01
19601010,    0.13,   -0.06,   -0.21,    0.01
19601011,    0.10,   -0.26,    0.23,    0.01
19601012,   -0.13,   -0.22,    0.51,    0.01
19601013,    0.83,   -0.42,    0.08,    0.01
19601014,    0.53,    0.01,   -0.07,    0.01
19601017,   -0.36,    0.13,    0.23,    0.01
19601018,   -0.52,    0.13,    0.12,    0.01
19601019,   -0.21,   -0.09,    0.14,    0.01
19601020,   -0.80,   -0.03,    0.30,    0.01
19601021,   -1.00,   -0.30,    0.59,    0.01
19601024,   -1.29,   -0.83,    0.49,    0.01
19601025,   -0.75,   -0.26,    0.34,    0.01
19601026,    1.43,   -0.17,   -0.52,    0.01
19601027,    1.12,   -0.28,   -0.22,    0.01
19601028,   -0.46,    0.11,    0.12,    0.01
19601031,   -0.08,   -0.49,    0.15,    0.01
19601101,    0.99,   -0.11,   -0.58,    0.01
19601102,    0.52,   -0.20,    0.36,    0.01
19601103,    0.42,   -0.17,    0.45,    0.01
19601104,    0.85,   -0.17,   -0.15,    0.01
19601107,    0.40,   -0.26,   -0.15,    0.01
19601109,    0.42,   -0.42,   -0.09,    0.01
19601110,    1.42,    0.60,   -0.73,    0.01
19601111,   -0.44,    0.78,   -0.10,    0.01
19601114,   -0.39,    0.10,    0.03,    0.01
19601115,    0.49,   -0.24,   -0.05,    0.01
19601116,   -0.17,    0.03,   -0.26,    0.01
19601117,   -0.26,   -0.07,    0.04,    0.01
19601118,    0.52,   -0.10,   -0.32,    0.01
19601121,    0.28,   -0.24,   -0.06,    0.01
19601122,   -0.34,    0.36,   -0.54,    0.01
19601123,    0.23,    0.15,   -0.03,    0.01
19601125,    0.66,    0.02,   -0.47,    0.01
19601128,   -0.12,    0.30,   -0.03,    0.01
19601129,   -0.33,   -0.04,    0.14,    0.01
19601130,   -0.51,    0.06,    0.24,    0.01
19601201,   -0.39,    0.00,   -0.02,    0.01
19601202,    0.16,    0.48,   -0.26,    0.01
19601205,   -0.19,   -0.04,    0.07,    0.01
19601206,    0.46,   -0.28,   -0.04,    0.01
19601207,    0.94,   -0.11,   -0.18,    0.01
19601208,    0.22,   -0.04,    0.00,    0.01
19601209,    0.89,   -0.03,   -0.15,    0.01
19601212,    0.38,    0.04,   -0.31,    0.01
19601213,    0.13,   -0.05,   -0.29,    0.01
19601214,   -0.07,    0.22,   -0.31,    0.01
19601215,   -0.20,    0.32,    0.22,    0.01
19601216,    0.91,   -0.60,   -0.03,    0.01
19601219,   -0.13,    0.13,   -0.43,    0.01
19601220,   -0.07,    0.09,   -0.32,    0.01
19601221,    0.72,   -0.69,    0.04,    0.01
19601222,   -0.26,   -0.14,    0.88,    0.01
19601223,    0.06,    0.17,   -0.08,    0.01
19601227,    0.14,   -0.43,    0.14,    0.01
19601228,    0.39,   -0.28,    0.12,    0.01
19601229,    0.48,   -0.25,    0.20,    0.01
19601230,    0.06,   -0.02,   -0.02,    0.01
19610103,   -0.87,    0.46,    0.70,    0.01
19610104,    1.31,   -0.16,    0.40,    0.01
19610105,    0.39,    0.51,    0.72,    0.01
19610106,   -0.11,    0.27,    0.13,    0.01
19610109,    0.59,    0.37,    0.63,    0.01
19610110,    0.25,    0.14,    0.06,    0.01
19610111,    0.28,    0.02,    0.18,    0.01
19610112,    0.29,    0.19,    0.26,    0.01
19610113,    0.42,   -0.18,   -0.03,    0.01
19610116,   -0.04,    0.14,   -0.09,    0.01
19610117,   -0.36,    0.17,    0.27,    0.01
19610118,    0.65,    0.28,    0.32,    0.01
19610119,    0.16,   -0.16,    0.40,    0.01
19610120,    0.36,    0.17,   -0.10,    0.01
19610123,    0.51,   -0.05,    0.17,    0.01
19610124,    0.23,   -0.32,   -0.37,    0.01
19610125,    0.07,   -0.27,    0.00,    0.01
19610126,    0.11,   -0.27,   -0.27,    0.01
19610127,    0.93,   -0.18,    0.13,    0.01
19610130,    1.17,   -0.40,   -0.33,    0.01
19610131,   -0.31,   -0.09,    0.19,    0.01
19610201,    0.31,    0.08,    0.16,    0.01
19610202,    0.67,    0.29,   -0.13,    0.01
19610203,   -0.16,    0.25,    0.10,    0.01
19610206,   -0.60,    0.40,    0.04,    0.01
19610207,   -0.03,    0.40,    0.01,    0.01
19610208,    0.94,    0.21,    0.23,    0.01
19610209,   -0.22,    0.27,    0.29,    0.01
19610210,   -0.78,    0.23,   -0.17,    0.01
19610213,   -0.53,    0.48,   -0.10,    0.01
19610214,    0.56,    0.39,   -0.19,    0.01
19610215,    0.75,   -0.16,    0.65,    0.01
19610216,    0.61,   -0.20,    0.20,    0.01
19610217,   -0.25,    0.48,   -0.06,    0.01
19610220,    0.43,    0.05,   -0.12,    0.01
19610221,    0.10,    0.31,   -0.33,    0.01
19610223,    0.42,    0.03,   -0.17,    0.01
19610224,    0.36,    0.06,   -0.18,    0.01
19610227,    0.77,    0.15,   -0.22,    0.01
19610228,    0.19,   -0.01,   -0.54,    0.01
19610301,   -0.01,    0.03,   -0.29,    0.01
19610302,    0.65,    0.00,   -0.08,    0.01
19610303,    0.14,    0.15,   -0.17,    0.01
19610306,    0.16,    0.08,   -0.26,    0.01
19610307,   -0.72,    0.40,    0.03,    0.01
19610308,    0.05,    0.50,   -0.78,    0.01
19610309,    0.06,    0.40,    0.69,    0.01
19610310,    0.07,    0.12,    0.07,    0.01
19610313,    0.25,   -0.05,   -0.06,    0.01
19610314,   -0.39,    0.30,   -0.10,    0.01
19610315,    0.37,   -0.06,    0.08,    0.01
19610316,    0.99,   -0.11,   -0.01,    0.01
19610317,    0.58,    0.05,   -0.36,    0.01
19610320,    0.42,    0.13,   -0.03,    0.01
19610321,   -0.15,    0.20,    0.54,    0.01
19610322,   -0.10,    0.24,    0.49,    0.01
19610323,   -0.33,   -0.28,   -0.13,    0.01
19610324,   -0.13,   -0.10,    0.05,    0.01
19610327,   -0.07,    0.48,    0.13,    0.01
19610328,    0.05,    0.57,    0.14,    0.01
19610329,    0.76,   -0.10,   -0.52,    0.01
19610330,    0.22,    0.17,   -0.17,    0.01
19610403,    0.78,    0.15,   -0.11,    0.01
19610404,    0.02,   -0.08,   -0.31,    0.01
19610405,   -0.31,   -0.42,    0.50,    0.01
19610406,    0.27,   -0.35,    0.31,    0.01
19610407,    0.50,    0.04,    0.06,    0.01
19610410,    0.83,   -0.10,   -0.08,    0.01
19610411,    0.04,   -0.27,   -0.20,    0.01
19610412,   -0.47,    0.02,    0.14,    0.01
19610413,    0.01,    0.08,   -0.08,    0.01
19610414,    0.22,    0.30,    0.05,    0.01
19610417,    0.47,    0.19,    0.19,    0.01
19610418,   -0.73,    0.34,    0.03,    0.01
19610419,   -0.51,    0.02,    0.36,    0.01
19610420,   -0.02,    0.36,   -0.04,    0.01
19610421,   -0.02,    0.21,    0.31,    0.01
19610424,   -2.20,   -0.38,    0.11,    0.01
19610425,    1.46,   -0.13,    0.01,    0.01
19610426,    0.42,    0.23,    0.36,    0.01
19610427,   -0.12,    0.18,    0.34,    0.01
19610428,   -0.30,   -0.32,    0.18,    0.01
19610501,   -0.21,   -0.05,    0.10,    0.01
19610502,    0.76,   -0.08,   -0.13,    0.01
19610503,    0.80,   -0.02,    0.25,    0.01
19610504,    0.39,    0.10,    0.20,    0.01
19610505,    0.15,    0.29,   -0.25,    0.01
19610508,   -0.06,    0.71,   -0.20,    0.01
19610509,    0.11,    0.18,   -0.02,    0.01
19610510,   -0.03,    0.05,    0.09,    0.01
19610511,    0.03,    0.40,   -0.45,    0.01
19610512,    0.12,    0.08,    0.16,    0.01
19610515,    0.55,   -0.02,    0.35,    0.01
19610516,    0.44,   -0.10,    0.38,    0.01
19610517,    0.34,   -0.39,    0.50,    0.01
19610518,   -0.63,   -0.44,   -0.16,    0.01
19610519,    0.46,    0.06,   -0.17,    0.01
19610522,   -0.64,    0.22,    0.27,    0.01
19610523,   -0.17,   -0.02,    0.07,    0.01
19610524,   -0.51,    0.34,    0.04,    0.01
19610525,   -0.30,    0.53,    0.16,    0.01
19610526,    0.68,    0.21,   -0.60,    0.01
19610531,    0.11,   -0.14,   -0.20,    0.01
19610601,   -0.02,   -0.45,   -0.28,    0.01
19610602,    0.20,   -0.17,   -0.36,    0.01
19610605,    0.51,   -0.46,    0.01,    0.01
19610606,   -0.26,   -0.23,    0.04,    0.01
19610607,   -0.41,   -0.62,    0.45,    0.01
19610608,    0.06,   -0.11,   -0.29,    0.01
19610609,    0.01,    0.50,   -0.07,    0.01
19610612,   -0.70,    0.07,   -0.09,    0.01
19610613,   -0.54,   -0.10,    0.16,    0.01
19610614,    0.22,   -0.03,   -0.15,    0.01
19610615,   -0.44,   -0.08,   -0.13,    0.01
19610616,   -0.79,   -0.14,   -0.30,    0.01
19610619,   -0.93,   -0.37,    0.05,    0.01
19610620,    0.84,   -0.26,    0.15,    0.01
19610621,    0.04,   -0.06,    0.20,    0.01
19610622,   -0.41,   -0.04,   -0.03,    0.01
19610623,    0.34,   -0.18,   -0.04,    0.01
19610626,   -1.07,    0.24,    0.13,    0.01
19610627,   -0.01,   -0.16,   -0.31,    0.01
19610628,    0.21,    0.02,    0.44,    0.01
19610629,   -0.12,    0.01,    0.19,    0.01
19610630,    0.17,    0.02,    0.15,    0.01
19610703,    0.84,   -0.34,   -0.07,    0.01
19610705,    0.62,    0.30,   -0.33,    0.01
19610706,    0.29,    0.30,    0.08,    0.01
19610707,   -0.07,    0.03,   -0.25,    0.01
19610710,   -0.06,   -0.02,    0.03,    0.01
19610711,   -0.12,   -0.26,    0.40,    0.01
19610712,   -0.60,   -0.43,    0.34,    0.01
19610713,   -0.68,    0.02,   -0.09,    0.01
19610714,    0.62,   -0.16,   -0.03,    0.01
19610717,   -0.78,    0.14,   -0.16,    0.01
19610718,   -0.60,   -0.30,   -0.03,    0.01
19610719,    0.38,   -0.24,   -0.33,    0.01
19610720,    0.04,   -0.23,    0.11,    0.01
19610721,    0.20,   -0.07,    0.19,    0.01
19610724,   -0.06,   -0.15,   -0.01,    0.01
19610725,    0.58,   -0.02,    0.02,    0.01
19610726,    0.87,   -0.10,    0.49,    0.01
19610727,    1.11,   -0.18,    0.06,    0.01
19610728,    0.15,   -0.13,   -0.42,    0.01
19610731,    0.10,   -0.08,   -0.06,    0.01
19610801,    0.87,   -0.24,   -0.29,    0.01
19610802,   -0.55,    0.01,    0.46,    0.01
19610803,    0.53,   -0.10,   -0.18,    0.01
19610804,    0.61,   -0.31,    0.41,    0.01
19610807,    0.11,   -0.24,   -0.11,    0.01
19610808,    0.21,   -0.21,    0.07,    0.01
19610809,    0.00,   -0.03,   -0.07,    0.01
19610810,    0.35,   -0.10,   -0.14,    0.01
19610811,    0.20,    0.09,   -0.48,    0.01
19610814,   -0.53,   -0.01,    0.14,    0.01
19610815,   -0.20,   -0.04,   -0.13,    0.01
19610816,    0.33,   -0.11,    0.00,    0.01
19610817,    0.52,   -0.01,    0.05,    0.01
19610818,    0.28,    0.01,    0.28,    0.01
19610821,    0.16,   -0.40,   -0.04,    0.01
19610822,    0.01,   -0.03,    0.09,    0.01
19610823,   -0.61,   -0.19,    0.39,    0.01
19610824,   -0.55,    0.15,   -0.19,    0.01
19610825,    0.13,    0.11,   -0.02,    0.01
19610828,    0.04,    0.15,   -0.25,    0.01
19610829,   -0.08,   -0.02,    0.03,    0.01
19610830,    0.42,   -0.02,   -0.19,    0.01
19610831,    0.34,   -0.16,   -0.12,    0.01
19610901,    0.21,    0.18,   -0.23,    0.01
19610905,   -0.33,    0.14,   -0.12,    0.01
19610906,    0.66,   -0.44,   -0.12,    0.01
19610907,   -0.22,   -0.46,    0.26,    0.01
19610908,   -0.68,   -0.26,    0.08,    0.01
19610911,   -0.82,    0.00,    0.22,    0.01
