,Mkt-RF,SMB,HML,RF
19271110,    0.23,   -0.01,   -0.39,    0.01
19271111,    0.87,   -0.36,   -0.29,    0.01
19271112,    0.34,    0.16,   -0.18,    0.01
19271114,    0.50,    0.32,    0.11,    0.01
19271115,    0.11,   -0.13,    0.68,    0.01
19271116,   -0.04,    0.40,    0.11,    0.01
19271117,    0.16,    0.31,   -0.06,    0.01
19271118,    0.60,    0.12,   -0.06,    0.01
19271119,    0.26,    0.41,   -0.02,    0.01
19271121,   -0.52,    0.12,    0.42,    0.01
19271122,    0.37,   -0.11,   -0.14,    0.01
19271123,    0.29,    0.18,    0.09,    0.01
19271125,    0.24,    0.15,    0.43,    0.01
19271126,   -0.01,    0.52,    0.00,    0.01
19271128,   -0.75,    0.16,    0.04,    0.01
19271129,    0.66,    0.35,   -0.19,    0.01
19271130,    0.49,   -0.14,   -0.27,    0.01
19271201,   -0.48,   -0.22,    0.06,    0.01
19271202,    0.25,   -0.57,    0.96,    0.01
19271203,    0.36,   -0.26,    0.24,    0.01
19271205,   -0.40,    0.37,    0.11,    0.01
19271206,   -0.03,    0.32,   -0.24,    0.01
19271207,   -0.50,   -0.11,   -0.53,    0.01
19271208,   -0.90,    0.28,   -0.16,    0.01
19271209,    1.12,    0.02,   -0.09,    0.01
19271210,    0.06,    0.49,   -0.22,    0.01
19271212,    0.58,    0.80,   -0.59,    0.01
19271213,    0.38,   -0.28,   -0.31,    0.01
19271214,   -0.37,    0.04,   -0.03,    0.01
19271215,    0.52,    0.19,    0.22,    0.01
19271216,    0.66,   -0.26,   -0.37,    0.01
19271217,    0.05,   -0.14,    0.64,    0.01
19271219,    0.29,    0.22,   -0.35,    0.01
19271220,    0.02,   -0.26,    0.20,    0.01
19271221,   -0.07,   -0.10,    0.27,    0.01
19271222,   -0.06,   -0.50,    0.21,    0.01
19271223,    0.20,   -0.32,    0.09,    0.01
19271224,    0.14,   -0.01,    0.40,    0.01
19271227,    0.01,    0.25,   -0.28,    0.01
19271228,   -0.64,    0.25,   -0.21,    0.01
19271229,    0.16,   -0.09,   -1.10,    0.01
19271230,    0.42,    0.71,   -0.03,    0.01
19271231,    0.33,    0.18,    0.02,    0.01
19280103,    0.45,    0.83,   -0.12,    0.01
19280104,   -0.15,    0.52,   -0.05,    0.01
19280105,   -0.73,   -0.10,    0.26,    0.01
19280106,    0.62,    0.53,    0.06,    0.01
